Price,Close,High,Low,Open,Volume,Daily_Return,MA_20
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
Date,,,,,,,
2023-08-18,1264.5406494140625,1274.827925208279,1240.6771930744892,1251.9041214413387,18639978,0.007407409568482626,1248.6015319824219
2023-08-21,1250.74267578125,1268.3374245054665,1248.5836072167706,1260.6443643964944,9221746,-0.010911451236625624,1248.3579895019532
2023-08-22,1250.44482421875,1259.6517042081298,1240.319812990251,1249.204008079304,7713044,-0.0002381397614932279,1249.3693969726562
2023-08-23,1251.8345947265625,1262.0838090060652,1249.2288807667073,1252.8272476636503,9517952,0.0011114208967042405,1250.4898498535156
2023-08-24,1230.7904052734375,1260.6195534341234,1226.4227081001463,1260.6195534341234,14140020,-0.016810678936159063,1249.5590515136719
2023-08-25,1225.1075439453125,1243.2978613921046,1212.3271367872899,1218.9778633049934,22222400,-0.004617245392697478,1248.9252380371095
2023-08-28,1212.8978271484375,1232.8749678308823,1206.6193456890517,1226.9190501118926,12580826,-0.009966240806545956,1247.0590026855468
2023-08-29,1201.2838134765625,1217.7121468384466,1195.2285336373561,1217.0173382536789,16876644,-0.009575426232875661,1244.0828674316406
2023-08-30,1200.1422119140625,1212.5255327642963,1198.628391987628,1207.0659417448908,12168946,-0.0009503179429315445,1241.9411315917969
2023-08-31,1194.65771484375,1203.5915905675504,1191.133748727762,1202.5989377093504,21638600,-0.004569872649979989,1240.189141845703
2023-09-01,1197.4619140625,1203.9141576589248,1192.0023233270636,1194.4343955405523,18112842,0.002347282559604702,1238.8357788085937
2023-09-04,1196.494140625,1202.921543874001,1193.8140262826475,1197.4619529612135,9347626,-0.0008081872384706479,1236.6018981933594
2023-09-05,1202.8968505859375,1208.033756715794,1197.3627378820318,1201.1100268699734,8675876,0.005351225504199197,1234.3345275878905
2023-09-06,1205.4281005859375,1209.125708635972,1199.745186611218,1201.6560920331103,8200370,0.002104295142818735,1232.5696105957031
2023-09-07,1207.06591796875,1210.1679582595825,1196.6430625915527,1201.9537313347682,13652572,0.0013587018437817289,1230.4773071289062
2023-09-08,1215.1064453125,1218.9778160313297,1202.5742018862823,1211.0365924741222,23109288,0.0066612164456441025,1228.508837890625
2023-09-11,1228.20947265625,1229.326207160582,1216.9924464989115,1216.9924464989115,13271074,0.010783439915323711,1226.9309204101562
2023-09-12,1210.4659423828125,1232.3787090583842,1209.0265228175713,1232.3787090583842,16255666,-0.01444666457022481,1223.721484375
2023-09-13,1216.52099609375,1222.2783103355039,1204.2120756300537,1211.0365644667,12803338,0.00500225037229729,1220.8667297363281
2023-09-14,1217.6376953125,1223.8417758931353,1213.5181615722684,1220.9630582690309,9209636,0.0009179448791560851,1218.9864868164063
2023-09-15,1219.8961181640625,1224.9337835939812,1215.7517434819517,1224.9337835939812,25468592,0.0018547576674545763,1216.7542602539063
2023-09-18,1209.274658203125,1216.4962329024152,1207.0908701058952,1211.061482045193,7516300,-0.008706856102569382,1214.680859375
2023-09-20,1182.323974609375,1204.8821081322808,1168.8487603007638,1202.623798606989,57081884,-0.022286652094236636,1211.2748168945313
2023-09-21,1173.712890625,1186.2699748730859,1171.3304992731428,1178.750555955457,12226182,-0.0072831847863188415,1207.3687316894532
2023-09-22,1168.8240966796875,1182.47307577697,1166.3673046768697,1179.2717940052096,19176786,-0.004165238351185874,1204.2704162597656
2023-09-25,1161.6273193359375,1171.6779308453931,1158.9720452955405,1166.5657437194718,14254884,-0.0061572800938944905,1201.0964050292969
2023-09-26,1162.6446533203125,1166.4663425671888,1159.2200494490667,1160.684188171601,10087782,0.0008757834526107455,1198.5837463378907
2023-09-27,1175.7476806640625,1177.1871000752483,1160.6594050312615,1163.1410372849095,11722778,0.011270019009101295,1197.3069396972655
2023-09-28,1158.4755859375,1182.7459002555731,1153.9589668880435,1182.7459002555731,14518346,-0.01469030729178833,1195.2236083984376
2023-09-29,1163.8856201171875,1175.847137006539,1158.475709840611,1162.2973995824232,12342014,0.004669959596351303,1193.6850036621095
2023-10-03,1150.55908203125,1159.220075299941,1149.492028660551,1156.415758225436,8859056,-0.011450041013992163,1191.339862060547
2023-10-04,1148.5738525390625,1150.981084388904,1139.1189302205564,1146.0178196869251,10286386,-0.001725447674258196,1188.94384765625
2023-10-05,1148.549072265625,1156.14276991832,1146.017758932428,1151.105104982258,10953682,-2.1574819401237733e-05,1186.2264587402344
2023-10-06,1150.4847412109375,1153.8597853939605,1147.5316229908371,1150.0132553057874,5431026,0.0016853167113655143,1183.4792907714843
2023-10-09,1140.6822509765625,1147.4818990309532,1139.0691900320726,1145.5711149238573,7576878,-0.008520313119544265,1180.160107421875
2023-10-10,1145.719970703125,1150.435072150941,1143.4121010954177,1144.8018394410437,10236032,0.004416409321920778,1176.6907836914063
2023-10-11,1163.910400390625,1166.2182699823193,1148.0031129607796,1148.7227620999727,9814118,0.015876854862132417,1173.475830078125
2023-10-12,1166.0693359375,1171.0078811502246,1160.485663265934,1163.3148210249558,12554450,0.0018548984063984086,1171.2559997558594
2023-10-13,1166.0198974609375,1170.0897506197043,1156.0188455521982,1161.4040366702475,10150316,-4.239754450174882e-05,1168.7309448242188
2023-10-16,1163.4140625,1168.6254903286665,1159.4186102633319,1163.885548402189,5929036,-0.002234811744303733,1166.0197631835938
2023-10-17,1168.972900390625,1171.18152891328,1162.0491704758838,1169.3451452373686,7928180,0.00477803910903396,1163.4736022949219
2023-10-18,1153.4627685546875,1174.8048077319042,1151.9737890772074,1168.9729714451066,8918320,-0.013268170571580029,1160.6830078125
2023-10-19,1144.603271484375,1152.37085365543,1142.0472385636656,1147.5068298823098,12032556,-0.007680782866891889,1158.79697265625
2023-10-20,1141.104248046875,1148.846868358942,1139.7145096810816,1141.5508934053469,8913312,-0.003056974870395357,1157.1665405273438
2023-10-23,1123.2861328125,1144.6530132953733,1119.3403612940447,1136.5877075106362,7853962,-0.015614800545062035,1154.8896423339843
2023-10-25,1120.6802978515625,1132.219887961399,1113.2602415640138,1116.7593673158804,11620688,-0.0023198318619076508,1152.8422912597657
2023-10-26,1105.0709228515625,1120.7052071856403,1101.9937228681183,1117.2309217780673,15222534,-0.013928481681996563,1149.963604736328
2023-10-27,1124.5765380859375,1128.3982276638756,1109.761144511754,1111.7712909465938,11771084,0.017651007578809663,1147.405047607422
2023-10-30,1147.7548828125,1153.958963260135,1126.6361687340607,1128.6463150337838,16813304,0.020610731187770126,1146.8690124511718
2023-10-31,1135.5452880859375,1155.4480281047179,1133.0636557231696,1155.4480281047179,12808438,-0.010637806825655738,1145.4519958496094
2023-11-01,1140.2603759765625,1150.236586425296,1129.2419526519689,1136.1656826268284,10309190,0.0041522675846532575,1144.937060546875
2023-11-02,1151.57666015625,1153.6116471680004,1145.4966608528325,1148.4746196953226,10562104,0.009924298360359796,1145.0872009277343
2023-11-03,1151.3284912109375,1158.897469898072,1149.3680258840427,1155.0509397455937,8850156,-0.00021550362550659674,1145.226171875
2023-11-06,1160.9075927734375,1161.4039192346488,1154.256866662586,1157.5822297180116,10647304,0.00832004213882076,1145.747314453125
2023-11-07,1153.3634033203125,1160.9572220726066,1151.2540159543112,1158.4507493206686,6960204,-0.006498527100767593,1146.3813720703124
2023-11-08,1159.368896484375,1161.900209827792,1152.3459257444151,1157.4332718147846,7884494,0.005206939241156672,1147.063818359375
2023-11-09,1146.787109375,1159.3689122452765,1143.6353879313751,1159.344192861405,14513610,-0.010852272428152565,1146.2076538085937
2023-11-10,1148.946044921875,1149.6658152095554,1140.5830169850344,1144.3054653415224,7734954,0.0018825948855072383,1145.3514892578125
2023-11-13,1148.7972412109375,1153.7605056745233,1147.3578218124285,1152.9166537769547,3854810,-0.00012951322787979613,1144.4903564453125
2023-11-15,1169.5684814453125,1172.2982770196893,1154.9516911953863,1161.4039352802765,12220648,0.01808085838757778,1144.798077392578
2023-11-16,1171.6778564453125,1178.3534231349859,1164.8533675821152,1166.9131951067154,13134910,0.0018035497993185157,1144.9333251953126
2023-11-17,1169.121826171875,1177.9067803474445,1167.3846835483773,1167.8064883385834,7758634,-0.002181512827418408,1145.7162780761719
2023-11-20,1166.044677734375,1170.5363354915235,1159.617152805321,1165.647592311094,4490186,-0.0026320169281037753,1146.788348388672
2023-11-21,1180.7109375,1185.227556641674,1171.4296571663483,1174.3083747965666,8214450,0.012577785436250544,1148.7686828613282
2023-11-22,1185.326904296875,1188.4289448727575,1177.3856804226161,1178.7754188353035,8534814,0.003909480847741342,1151.8707214355468
2023-11-23,1188.9500732421875,1191.1835423841578,1185.3268657327444,1185.3268657327444,8531542,0.0030566832931728793,1155.2842102050781
2023-11-24,1188.1558837890625,1192.474021001291,1186.7414260587238,1187.0144298509326,6749486,-0.0006679754440481744,1159.438458251953
2023-11-28,1188.404052734375,1191.034607263244,1178.899449291774,1188.1558894990753,13792174,0.00020886901180094952,1162.629833984375
2023-11-29,1191.5308837890625,1197.1145563492605,1190.2156671664848,1195.1540911072586,12531306,0.0026311177982716316,1164.8186340332031
2023-11-30,1179.9913330078125,1191.530923348677,1176.2440439527552,1188.5529645510346,28439984,-0.00968464262088975,1167.0409362792968
2023-12-01,1188.3544921875,1189.3967050711567,1180.0658643673892,1180.2643464861462,14342842,0.007087475090490347,1169.4456420898437
2023-12-04,1201.209228515625,1215.9997806950958,1190.4886500919326,1215.9997806950958,15590990,0.010817257318952223,1171.9272705078124
2023-12-05,1209.9197998046875,1211.4584602643838,1201.9288955146308,1210.540207865299,12693624,0.007251502138246435,1174.8568359375
2023-12-06,1221.5091552734375,1227.3905513904704,1208.5549856031337,1214.560584514323,16422442,0.009578614607861358,1177.8869140625
2023-12-07,1219.4990234375,1221.4346482742724,1212.0292855470004,1220.9631623446442,8142096,-0.0016456134014709578,1181.1936950683594
